time/ka,W/m^2
-1138,452.001424
-1137,450.370594
-1136,449.257741
-1135,449.788569
-1134,451.206253
-1133,453.283097
-1132,456.370618
-1131,459.518045
-1130,462.677187
-1129,466.071919
-1128,467.440862
-1127,468.451814
-1126,469.590651
-1125,470.146258
-1124,470.863415
-1123,471.860334
-1122,473.142762
-1121,475.443457
-1120,478.128972
-1119,481.225802
-1118,485.045318
-1117,488.41179
-1116,492.633946
-1115,495.288137
-1114,497.775261
-1113,498.403411
-1112,496.928502
-1111,493.464845
-1110,487.31553
-1109,479.684667
-1108,471.062032
-1107,461.638545
-1106,453.918047
-1105,447.059089
-1104,442.359849
-1103,439.457112
-1102,438.269107
-1101,439.392194
-1100,441.81507
-1099,445.888612
-1098,451.384094
-1097,458.131587
-1096,466.222139
-1095,474.049019
-1094,481.956786
-1093,487.49646
-1092,490.050056
-1091,488.227429
-1090,482.377715
-1089,472.84182
-1088,462.537024
-1087,451.969796
-1086,444.316601
-1085,438.689607
-1084,436.465763
-1083,436.738121
-1082,439.23373
-1081,443.609405
-1080,449.180571
-1079,455.96906
-1078,463.84601
-1077,472.63645
-1076,482.255986
-1075,492.283028
-1074,502.742984
-1073,511.313836
-1072,518.325608
-1071,521.079934
-1070,518.415127
-1069,510.258479
-1068,497.21943
-1067,481.722129
-1066,465.998819
-1065,451.937765
-1064,441.178256
-1063,433.563691
-1062,429.365188
-1061,427.941397
-1060,428.91197
-1059,431.826245
-1058,436.13681
-1057,442.225576
-1056,449.130646
-1055,457.054261
-1054,466.240378
-1053,474.987117
-1052,484.117861
-1051,491.314715
-1050,495.504934
-1049,495.990051
-1048,492.120797
-1047,485.11284
-1046,475.65628
-1045,466.232939
-1044,457.12671
-1043,450.330563
-1042,446.141231
-1041,444.1488
-1040,444.332458
-1039,446.295234
-1038,449.546896
-1037,454.131589
-1036,459.018495
-1035,464.707773
-1034,470.650785
-1033,476.166422
-1032,481.633351
-1031,486.00273
-1030,489.363209
-1029,491.662008
-1028,492.309869
-1027,491.620906
-1026,489.626614
-1025,486.616496
-1024,483.009709
-1023,479.027455
-1022,474.661262
-1021,470.682732
-1020,466.83283
-1019,463.158797
-1018,459.742977
-1017,456.572968
-1016,453.709053
-1015,451.292699
-1014,449.253124
-1013,447.826581
-1012,447.036739
-1011,447.080496
-1010,447.884875
-1009,449.87115
-1008,452.684319
-1007,456.419214
-1006,461.315847
-1005,467.064764
-1004,473.453632
-1003,480.59029
-1002,487.645287
-1001,494.073698
-1000,499.523555
-999,502.352755
-998,502.162831
-997,498.254627
-996,490.691269
-995,480.811943
-994,470.637874
-993,460.368217
-992,452.485745
-991,446.249694
-990,442.483507
-989,440.960643
-988,441.347394
-987,443.172854
-986,446.470147
-985,451.076415
-984,456.431455
-983,463.416704
-982,471.384784
-981,480.54061
-980,489.431234
-979,497.26366
-978,502.11481
-977,502.118298
-976,496.070258
-975,485.304037
-974,470.847888
-973,454.97643
-972,442.19799
-971,431.869133
-970,426.047986
-969,423.644891
-968,424.532808
-967,427.772657
-966,432.770599
-965,439.309175
-964,447.181954
-963,455.710605
-962,465.762852
-961,476.605476
-960,487.732315
-959,498.396376
-958,508.514572
-957,515.077455
-956,517.814398
-955,514.848871
-954,506.655032
-953,494.852733
-952,481.49838
-951,468.553529
-950,457.495226
-949,449.540151
-948,444.583892
-947,442.168767
-946,441.864054
-945,443.393557
-944,446.137938
-943,449.605337
-942,454.259159
-941,459.595666
-940,464.909095
-939,470.763277
-938,476.722231
-937,481.300274
-936,485.029282
-935,486.447129
-934,485.210078
-933,481.366126
-932,475.148127
-931,467.289181
-930,459.681811
-929,452.962876
-928,448.074755
-927,445.029908
-926,443.957199
-925,444.548018
-924,446.608676
-923,449.671697
-922,453.373809
-921,457.665411
